id,easting,northing,elevation,site,year,percAlong,distAlong
236,317914.8524,4097829.087,2164.506137,AHA,2021,0.066385373,61.95083216
237,317914.8524,4097829.087,2164.506137,AHA,2021,0.066666667,62.21333569
238,317915.3222,4097829.142,2164.689947,AHA,2021,0.066947961,62.47583921
239,317915.7801,4097829.281,2164.844575,AHA,2021,0.067229255,62.73834274
240,317915.9189,4097829.323,2164.850937,AHA,2021,0.067510549,63.00084627
241,317916.3796,4097829.484,2164.786855,AHA,2021,0.067791842,63.26334979
242,317916.3796,4097829.484,2164.786855,AHA,2021,0.068073136,63.52585332
243,317916.7954,4097829.671,2164.59499,AHA,2021,0.06835443,63.78835684
244,317916.7954,4097829.671,2164.59499,AHA,2021,0.068635724,64.05086037
245,317917.0504,4097829.893,2164.570932,AHA,2021,0.068917018,64.3133639
246,317917.2399,4097830.136,2164.612693,AHA,2021,0.069198312,64.57586742
247,317917.4825,4097830.446,2164.764471,AHA,2021,0.069479606,64.83837095
248,317917.672,4097830.689,2164.957219,AHA,2021,0.0697609,65.10087447
249,317917.916,4097830.885,2165.123457,AHA,2021,0.070042194,65.363378
250,317917.916,4097830.885,2165.123457,AHA,2021,0.070323488,65.62588153
251,317918.347,4097831.057,2165.116331,AHA,2021,0.070604782,65.88838505
252,317918.347,4097831.057,2165.116331,AHA,2021,0.070886076,66.15088858
253,317918.8518,4097831.066,2164.916556,AHA,2021,0.07116737,66.41339211
254,317919.3457,4097831.011,2164.763373,AHA,2021,0.071448664,66.67589563
255,317919.3457,4097831.011,2164.763373,AHA,2021,0.071729958,66.93839916
256,317919.6863,4097830.812,2164.647975,AHA,2021,0.072011252,67.20090268
257,317919.9197,4097830.651,2164.597792,AHA,2021,0.072292546,67.46340621
258,317919.9197,4097830.651,2164.597792,AHA,2021,0.07257384,67.72590974
259,317920.3289,4097830.684,2164.552443,AHA,2021,0.072855134,67.98841326
260,317920.7983,4097830.772,2164.57727,AHA,2021,0.073136428,68.25091679
261,317920.7983,4097830.772,2164.57727,AHA,2021,0.073417722,68.51342031
262,317920.9089,4097830.797,2164.58675,AHA,2021,0.073699015,68.77592384
263,317921.3831,4097830.908,2164.63565,AHA,2021,0.073980309,69.03842737
264,317921.7895,4097831.111,2164.657908,AHA,2021,0.074261603,69.30093089
265,317921.7895,4097831.111,2164.657908,AHA,2021,0.074542897,69.56343442
266,317921.7895,4097831.111,2164.657908,AHA,2021,0.074824191,69.82593794
267,317922.3506,4097831.049,2164.719019,AHA,2021,0.075105485,70.08844147
268,317922.3506,4097831.049,2164.719019,AHA,2021,0.075386779,70.350945
269,317922.9069,4097831.349,2164.686756,AHA,2021,0.075668073,70.61344852
